What is your opinion on Firefly,Do you think she is a good character,What is the nature of her relationship with the Traiblazer before they joined the Astral Express,What is the nature of her relationship with the Traiblazer now,How do you view her current relationship with the Trailblazer,What would you think if their relationship ended up explicitly  romantic,What would you think if their relationship ended up explicitly friendly,What would you think if their relationship ended up explicitly professional,What would you think if their relationship ended up explicitly strangers,What would you think if their relationship ended up explicitly enemies,Do you think that the Trailblazer is more of a Self-Insert Character,Do you feel that romantic relationships become the main focus in a story at the expense of other plot points,What do you think of Firefly's visual,What do you think of Firefly's personality,What do you think of Firefly's backstory lore and current place in the story,How Similar do you think Firefly is to the Trailblazer,How compatible do you think Firefly and Traiblazer are,Was it a disappointment to learn about her true identity as Sam
She is my favorite character of the game,She is a great character,Friends,Friends,1,3,2,5,6,6,4,4,1,1,2,3,2,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,1,1,6,6,4,6,6,1,1,1,3,1,1
She is my favorite character of the game,She is a great character,Lovers,Lovers,1,1,6,4,6,6,8,6,1,1,1,1,1,1
She is my favorite character of the game,She is a good character,Friends,Friends,1,1,2,6,6,6,7,5,1,1,1,2,1,1
She is my favorite character of the game,Her writing is not over (Expecting more in the future),Something else,Friends,1,6,1,4,6,6,3,6,1,1,1,3,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,1,5,6,6,6,8,3,1,1,1,3,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,1,1,2,6,6,8,3,1,1,1,5,1,1
She is my favorite character of the game,She is a great character,Lovers,Friends,1,1,3,3,6,6,5,3,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,2,3,6,6,5,4,4,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Friends,Lovers,1,1,2,2,6,6,6,1,1,1,1,1,1,1
She is my favorite character of the game,She is a great character,Friends,Lovers,1,1,2,6,6,6,6,5,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,2,1,1,6,6,4,5,1,1,1,2,2,1
She is my favorite character of the game,She is a great character,Lovers,Something else,1,2,3,6,6,6,7,6,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Lovers,Lovers,1,1,3,6,6,6,6,3,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,5,1,4,6,3,6,2,2,2,1,5,2,1
She is my favorite character of the game,She is a great character,Lovers,Friends,1,2,2,3,4,2,1,4,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,2,2,2,2,1,5,3,1,1,1,2,2,1
She is my favorite character of the game,She is a great character,Friends,Lovers,1,1,2,6,4,6,6,4,1,1,1,3,2,1
She is my favorite character of the game,Her writing is not over (Expecting more in the future),Coworker,Lovers,1,1,1,1,3,2,4,2,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Friends,Lovers,1,2,2,3,4,6,3,5,2,2,1,3,3,1
She is my favorite character of the game,She is a great character,Friends,Lovers,1,1,1,1,6,6,7,2,1,1,1,5,1,1
She is my favorite character of the game,She is a great character,Lovers,Lovers,1,1,2,3,6,6,8,3,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,1,1,6,6,2,5,6,1,1,1,2,1,1
She is my favorite character of the game,She is a good character,Strangers,Friends,1,1,2,2,6,6,4,5,1,1,1,5,2,1
She is my favorite character of the game,Her writing is not over (Expecting more in the future),Coworker,Friends,1,1,6,6,6,4,6,5,1,1,1,4,1,1
She is my favorite character of the game,She is a great character,Coworker,Friends,1,1,2,3,6,6,4,3,1,1,1,3,1,1
She is my favorite character of the game,She is a good character,Lovers,Friends,1,1,2,5,6,6,6,6,1,1,1,3,2,1
She is my favorite character of the game,She is a great character,Lovers,Lovers,1,1,2,3,6,6,1,3,1,1,1,1,1,1
She is my favorite character of the game,Her writing is not over (Expecting more in the future),Coworker,Lovers,1,2,2,4,6,4,6,4,1,1,2,4,1,1
She is my favorite character of the game,Her writing is not over (Expecting more in the future),Lovers,Friends,1,1,1,3,6,5,6,5,1,1,1,3,1,1
She is my favorite character of the game,She is a great character,Strangers,Something else,1,1,6,6,6,6,8,6,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Lovers,Lovers,1,1,3,4,6,6,3,2,1,1,1,1,1,1
She is my favorite character of the game,She is a great character,Friends,Friends,1,4,2,4,5,2,6,6,1,1,1,5,4,1
She is my favorite character of the game,She is a great character,Coworker,Friends,1,3,1,4,6,1,6,6,1,1,1,3,2,3
She is my favorite character of the game,She is a great character,Lovers,Friends,1,1,2,5,6,6,4,5,1,1,2,3,1,3
She is my favorite character of the game,She is a great character,Friends,Lovers,1,1,1,2,6,6,8,4,1,1,1,2,1,1
She is my favorite character of the game,She is a great character,Lovers,Lovers,1,1,3,6,6,6,8,6,1,1,1,1,1,1
She is my favorite character of the game,She is a great character,Friends,Something else,1,2,2,4,6,6,6,2,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,3,5,6,6,6,6,1,1,1,3,2,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,6,1,5,6,6,7,1,1,2,2,3,1,5
She is one of my favorite character,She is a great character,Friends,Friends,1,2,2,3,5,6,3,5,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,1,1,6,6,2,1,1,2,1,3,2,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,1,2,3,6,5,6,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,3,6,6,6,7,3,1,1,1,2,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,2,5,6,5,6,3,2,1,1,3,1,3
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,2,6,6,6,2,2,1,2,1,3,1,2
She is one of my favorite character,She is a good character,Friends,Friends,1,1,2,5,6,6,5,4,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,1,4,6,5,8,4,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,5,6,6,6,4,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Something else,Friends,1,3,1,4,5,4,5,3,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,4,3,2,6,6,4,6,1,1,1,3,3,1
She is one of my favorite character,She is a great character,Strangers,Friends,1,2,1,5,6,6,6,4,1,2,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,3,5,6,6,7,3,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,1,5,6,6,5,5,1,2,2,4,3,3
She is one of my favorite character,She is a good character,Coworker,Lovers,1,1,4,5,6,6,5,4,2,1,2,1,1,5
She is one of my favorite character,She is a good character,Something else,Lovers,1,1,4,5,6,6,5,4,2,3,3,3,1,1
She is one of my favorite character,She is a good character,Coworker,Friends,1,1,1,5,5,4,6,3,2,2,1,3,2,1
She is one of my favorite character,She is a good character,Strangers,Friends,1,1,1,3,5,6,7,6,2,1,2,3,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,2,6,6,6,5,5,1,1,1,4,2,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,1,1,2,5,6,6,5,2,1,3,4,3,3
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,2,4,4,5,5,6,1,1,2,3,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,4,6,2,6,3,1,1,2,3,1,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,1,1,4,6,6,7,6,3,1,1,5,2,3
She is one of my favorite character,She is average,Friends,Lovers,1,1,1,5,6,6,4,2,2,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,4,6,6,6,6,6,1,1,1,6,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,1,1,3,1,8,5,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Something else,Friends,1,2,2,5,6,6,7,3,1,2,1,3,2,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,3,3,6,6,7,2,2,1,1,2,1,2
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Friends,1,1,1,2,1,6,5,2,2,1,1,4,2,3
She is one of my favorite character,She is a good character,Coworker,Friends,1,2,1,4,4,5,8,5,1,2,1,5,2,1
She is one of my favorite character,She is a great character,Strangers,Lovers,1,2,1,2,3,5,3,5,1,1,1,3,2,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,2,5,6,6,5,2,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,3,6,6,7,5,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Strangers,Friends,1,3,3,3,4,5,6,4,2,1,1,2,2,1
She is one of my favorite character,She is a good character,Strangers,Lovers,1,1,3,3,6,6,1,1,1,2,2,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,2,4,6,1,7,5,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Coworker,Lovers,1,1,1,3,5,6,2,5,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,5,6,3,7,5,1,1,1,3,1,2
She is one of my favorite character,She is a good character,Friends,Lovers,1,2,1,6,6,4,3,4,2,2,2,3,1,2
She is one of my favorite character,She is a great character,Friends,Friends,1,5,1,4,6,6,4,1,2,1,2,4,4,1
She is one of my favorite character,She is a great character,Something else,Lovers,1,1,2,5,6,6,6,6,1,1,1,2,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,3,3,6,6,6,1,6,1,3,3,4,5,1
She is one of my favorite character,She is a great character,Something else,Lovers,1,1,4,5,6,6,4,3,1,1,1,2,1,2
She is one of my favorite character,She is a great character,Coworker,Friends,1,4,1,5,6,5,1,5,1,2,2,5,1,3
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,2,4,6,3,3,4,1,1,1,3,1,2
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,3,4,6,3,5,4,1,1,1,3,3,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,2,4,6,6,6,8,4,2,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,3,1,4,6,5,4,1,1,1,2,2,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,2,4,5,6,6,3,5,1,2,1,3,2,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Lovers,1,1,2,6,6,6,8,6,1,1,1,4,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,1,6,6,6,4,6,1,1,1,3,1,3
She is one of my favorite character,She is a great character,Lovers,Something else,1,1,4,5,6,4,5,4,1,1,1,3,2,1
She is one of my favorite character,She is a good character,Coworker,Friends,1,2,2,5,6,4,6,6,1,1,2,5,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,2,6,6,5,8,3,1,1,1,4,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,4,6,2,6,4,2,1,1,2,1,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,1,4,5,6,6,7,6,1,1,1,3,1,3
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,5,5,5,6,8,4,1,1,1,3,1,2
She is one of my favorite character,She is a great character,Friends,Lovers,1,2,2,6,6,3,7,5,1,1,1,3,2,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,2,2,5,6,5,6,5,2,1,2,3,2,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,3,6,3,5,4,1,1,1,6,4,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,4,4,6,6,6,3,2,2,1,2,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,5,6,6,7,3,2,1,1,3,2,2
She is one of my favorite character,She is a great character,Friends,Friends,1,3,3,2,5,3,3,6,1,1,2,4,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,3,6,6,6,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,3,5,6,6,7,1,2,1,2,1,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,1,1,6,6,1,1,1,1,1,1,1,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Friends,1,1,1,3,6,1,3,4,1,1,1,3,1,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Lovers,1,1,1,5,6,6,7,5,1,1,2,3,1,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,6,6,6,6,6,5,1,1,1,1,1,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Coworker,Friends,1,2,1,6,6,6,6,6,1,1,2,4,1,1
She is one of my favorite character,She is a good character,Strangers,Lovers,1,1,4,6,6,6,2,6,1,1,2,3,1,3
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,4,6,6,6,4,1,1,2,2,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,5,6,4,3,7,5,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,6,6,6,6,2,1,1,1,5,1,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,2,2,2,5,6,2,4,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,3,3,4,6,5,1,2,2,1,2,1
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,1,1,1,1,7,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Strangers,Something else,1,1,4,5,6,3,6,5,2,2,1,4,2,2
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,1,5,3,8,6,1,1,1,4,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,3,5,6,4,5,1,1,1,5,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,2,3,4,6,5,6,1,1,1,3,1,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Lovers,Lovers,1,1,2,5,6,6,3,6,1,1,1,2,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,3,1,6,6,5,6,1,1,1,1,3,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,2,2,5,6,6,6,3,1,1,2,3,2,1
She is one of my favorite character,She is a good character,Something else,Friends,1,1,3,5,5,5,7,3,2,2,1,3,2,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,4,6,6,6,7,3,1,1,1,3,1,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,3,6,6,6,4,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,3,3,3,6,3,6,4,2,1,1,5,4,3
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,2,3,5,3,8,5,1,2,1,4,2,2
She is one of my favorite character,She is a great character,Friends,Friends,1,3,1,6,6,6,8,6,1,1,1,1,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,2,6,6,6,8,6,2,1,3,3,4,2
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,4,6,3,6,6,1,1,1,5,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,6,1,3,6,2,5,1,1,1,1,4,2,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,4,6,6,2,8,6,1,1,1,3,1,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Coworker,Friends,1,3,1,2,6,2,6,6,1,1,2,6,1,1
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,3,2,6,6,6,1,1,1,2,1,1,2
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,3,4,6,6,3,3,1,1,2,4,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,5,5,6,6,2,1,1,1,2,1,1
She is one of my favorite character,She is a good character,Something else,Friends,1,1,1,3,6,2,3,3,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,4,6,6,7,5,1,1,2,5,1,2
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Friends,1,2,1,4,6,6,7,4,3,2,1,3,3,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,1,5,6,6,7,4,1,2,1,3,1,2
She is one of my favorite character,She is a great character,Friends,Friends,1,2,1,3,6,6,3,3,1,1,1,3,2,1
She is one of my favorite character,She is a great character,Strangers,Lovers,1,2,2,3,6,6,6,3,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Coworker,Friends,1,2,1,4,6,4,7,5,1,2,2,4,3,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,4,6,6,6,7,5,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,3,2,5,3,2,2,2,1,3,2,2
She is one of my favorite character,She is a great character,Friends,Lovers,1,3,3,6,6,6,3,1,1,1,1,5,1,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Lovers,1,1,1,3,5,6,8,2,1,1,2,3,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,2,5,6,6,6,3,1,1,1,4,2,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,4,6,6,6,6,6,1,1,1,3,1,2
She is one of my favorite character,She is a good character,Coworker,Friends,1,2,3,4,5,6,8,2,1,1,1,2,1,3
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,6,6,6,6,3,1,1,1,4,2,2
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Friends,1,1,1,6,6,4,4,5,1,1,2,3,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,4,4,2,2,4,1,1,2,4,3,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,2,3,5,6,6,5,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Something else,Friends,1,1,1,1,6,6,2,6,1,1,1,5,1,1
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,2,4,6,6,5,3,1,1,1,3,2,1
She is one of my favorite character,She is a great character,Something else,Friends,1,1,2,4,5,6,3,5,1,1,1,4,4,2
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,3,4,5,6,6,2,1,1,1,2,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,4,2,5,6,5,3,4,2,2,1,4,2,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,4,6,5,1,2,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,3,6,6,6,8,6,1,1,1,5,1,1
She is one of my favorite character,She is a great character,Strangers,Lovers,1,2,3,6,6,6,2,6,1,1,1,6,2,1
She is one of my favorite character,She is a great character,Something else,Lovers,1,2,3,5,6,5,3,1,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Something else,Lovers,1,1,3,4,5,6,5,3,1,2,1,3,1,1
She is one of my favorite character,She is a good character,Something else,Friends,1,3,3,5,5,6,4,6,1,2,2,3,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,2,5,6,6,7,6,1,1,1,4,3,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,1,6,2,6,5,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,3,6,6,7,3,2,1,1,3,2,1
She is one of my favorite character,She is a good character,Lovers,Friends,1,2,2,2,4,3,6,2,2,1,1,2,2,4
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Something else,1,2,2,5,6,3,6,4,1,1,2,5,1,3
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Friends,1,1,1,3,6,4,6,2,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Something else,1,1,2,4,6,3,7,5,1,1,2,2,2,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Lovers,1,1,4,6,6,6,6,6,2,2,2,1,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,5,6,6,6,5,1,1,1,3,2,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Lovers,Friends,1,1,1,4,6,6,4,3,1,2,1,2,1,1
She is one of my favorite character,She is a good character,Strangers,Friends,1,5,1,2,6,5,8,4,1,1,2,3,3,1
She is one of my favorite character,She is a good character,Friends,Friends,1,3,2,4,6,6,5,4,1,1,2,4,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,6,6,1,4,4,1,1,1,2,1,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,3,4,6,6,6,5,2,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,2,3,5,6,6,5,1,1,1,3,2,2
She is one of my favorite character,Her writing is not over (Expecting more in the future),Something else,Friends,1,1,2,5,5,6,6,3,1,1,1,3,1,2
She is one of my favorite character,Her writing is not over (Expecting more in the future),Coworker,Friends,1,1,1,4,6,3,3,5,1,1,1,5,3,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,5,4,6,6,6,4,1,1,2,2,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,5,6,1,4,4,1,1,1,3,4,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,3,5,6,3,8,3,1,1,1,4,2,2
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,2,4,6,6,8,4,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,2,4,6,6,5,4,1,1,1,4,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,3,6,6,7,6,1,1,1,3,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,2,5,6,4,5,1,2,1,3,1,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,3,6,6,6,7,6,1,1,1,5,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,3,4,5,6,1,3,2,2,1,2,1,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,4,4,5,6,5,3,2,1,1,2,2,1
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,5,6,6,5,8,5,2,1,1,1,1,1
She is one of my favorite character,She is a good character,Something else,Friends,1,5,2,6,6,3,7,3,1,1,2,5,2,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Lovers,Friends,1,1,3,5,6,6,8,5,1,1,1,3,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,1,1,4,6,6,3,5,1,1,2,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,1,5,6,4,6,5,1,1,1,3,1,1
She is one of my favorite character,She is a good character,Friends,Friends,1,2,4,6,6,4,6,4,1,2,1,4,2,1
She is one of my favorite character,She is a great character,Lovers,Friends,1,4,2,5,6,6,3,5,1,1,2,3,2,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Something else,Friends,1,3,3,3,6,4,6,5,1,1,2,4,1,1
She is one of my favorite character,She is a great character,Something else,Something else,1,1,3,5,6,6,5,2,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,5,6,6,6,6,3,1,1,1,3,1,2
She is one of my favorite character,She is a good character,Friends,Friends,1,1,2,4,6,5,5,4,1,2,2,3,2,2
She is one of my favorite character,She is a great character,Lovers,Friends,1,1,3,6,6,2,1,6,2,1,1,3,1,3
She is one of my favorite character,She is a great character,Friends,Lovers,1,2,2,4,5,6,2,4,1,1,1,2,2,2
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,5,6,1,7,4,1,1,1,5,5,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,1,6,6,6,8,4,1,1,1,3,2,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,2,3,4,6,5,2,3,1,1,2,3,2,2
She is one of my favorite character,She is a good character,Lovers,Lovers,1,1,1,3,5,3,6,4,1,2,1,2,2,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,4,6,6,6,8,4,3,2,1,6,2,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,2,6,6,6,6,6,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Strangers,Friends,1,1,1,1,6,4,3,4,1,2,2,4,2,3
She is one of my favorite character,She is a great character,Lovers,Friends,1,3,4,2,6,4,6,3,1,2,1,5,4,1
She is one of my favorite character,She is a great character,Friends,Something else,1,1,3,4,5,3,7,5,1,1,1,3,2,1
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,6,6,6,6,4,5,1,1,3,4,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,2,3,6,6,6,8,4,1,1,5,3,1,2
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Friends,1,1,3,6,6,2,4,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,6,6,6,8,4,1,1,1,2,2,1
She is one of my favorite character,She is a good character,Friends,Strangers,1,2,2,5,6,2,8,4,2,1,1,3,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,3,4,6,4,4,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,2,3,6,6,6,3,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,1,4,6,6,8,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,5,6,6,3,4,2,2,1,3,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,1,6,6,6,6,3,1,1,1,6,2,1
She is one of my favorite character,She is a great character,Strangers,Friends,1,1,4,6,6,6,6,4,1,1,2,3,1,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,6,6,6,6,3,2,1,1,1,4,1,1
She is one of my favorite character,She is a good character,Coworker,Something else,1,2,2,5,5,6,2,2,1,1,1,4,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,5,6,6,5,1,1,1,1,4,1,1
She is one of my favorite character,She is a great character,Strangers,Friends,1,6,1,1,1,1,8,6,1,1,1,6,7,1
She is one of my favorite character,She is a good character,Friends,Something else,1,6,3,6,6,6,5,6,1,1,1,6,4,5
She is one of my favorite character,She is a good character,Friends,Friends,1,2,1,3,6,6,7,6,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,4,6,6,6,5,2,1,1,4,1,1
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,1,4,6,6,6,4,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,1,6,6,6,3,5,1,1,1,3,1,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Lovers,Lovers,1,1,6,6,6,6,5,3,2,1,2,5,1,3
She is one of my favorite character,She is a great character,Lovers,Lovers,1,1,3,4,6,6,7,5,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,3,3,3,4,3,4,1,1,1,3,3,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Coworker,Friends,1,1,2,3,6,6,1,5,1,1,2,3,2,1
She is one of my favorite character,She is a great character,Strangers,Lovers,1,1,5,4,6,3,6,4,1,1,2,4,1,2
She is one of my favorite character,She is a great character,Friends,Lovers,1,1,3,6,6,6,8,3,1,1,1,6,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,2,1,5,6,3,5,5,1,1,1,5,3,1
She is one of my favorite character,She is a great character,Something else,Friends,1,1,3,5,6,4,5,3,1,1,1,2,1,2
She is one of my favorite character,She is a great character,Strangers,Friends,1,2,1,5,6,4,6,5,1,1,1,3,2,1
She is one of my favorite character,Her writing is not over (Expecting more in the future),Friends,Friends,1,3,2,4,6,6,6,6,1,1,1,4,3,1
She is one of my favorite character,She is a great character,Coworker,Lovers,1,1,3,5,6,6,1,5,1,1,1,3,2,1
She is one of my favorite character,She is a great character,Friends,Friends,1,3,1,5,6,6,8,4,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Strangers,Lovers,1,1,6,6,6,6,6,6,1,1,1,3,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,2,3,6,6,5,3,1,1,1,2,1,1
She is one of my favorite character,She is a great character,Friends,Friends,1,1,1,4,6,6,8,4,1,1,1,2,1,2
She is one of my favorite character,She is a good character,Friends,Lovers,1,1,3,6,6,6,8,6,1,1,1,5,1,1
