What is your opinion on Firefly,Do you think she is a good character,What is the nature of her relationship with the Traiblazer before they joined the Astral Express,What is the nature of her relationship with the Traiblazer now,How do you view her current relationship with the Trailblazer,What would you think if their relationship ended up explicitly  romantic,What would you think if their relationship ended up explicitly friendly,What would you think if their relationship ended up explicitly professional,What would you think if their relationship ended up explicitly strangers,What would you think if their relationship ended up explicitly enemies,Do you think that the Trailblazer is more of a Self-Insert Character,Do you feel that romantic relationships become the main focus in a story at the expense of other plot points,What do you think of Firefly's visual,What do you think of Firefly's personality,What do you think of Firefly's backstory lore and current place in the story,How Similar do you think Firefly is to the Trailblazer,How compatible do you think Firefly and Traiblazer are,Was it a disappointment to learn about her true identity as Sam
She is my favorite character of the game,She is a great character,Lovers,Lovers,positive,positive,less positive,neutral,negative,negative,negative,neutral,positive,positive,positive,less positive,positive,positive
She is my favorite character of the game,She is a great character,Friends,Friends,positive,positive,positive,negative,negative,less positive,neutral,negative,positive,positive,positive,less positive,positive,positive
She is my favorite character of the game,She is a good character,Strangers,Friends,positive,positive,less positive,less positive,negative,negative,neutral,less negative,positive,positive,positive,less negative,less positive,positive
She is my favorite character of the game,Her writing is not over,Coworker,Friends,positive,positive,negative,negative,negative,neutral,even less negative,less negative,positive,positive,positive,neutral,positive,positive
She is my favorite character of the game,She is a great character,Coworker,Friends,positive,positive,less positive,neutral,negative,negative,neutral,neutral,positive,positive,positive,neutral,positive,positive
She is my favorite character of the game,She is a good character,Lovers,Friends,positive,positive,less positive,less negative,negative,negative,even less negative,negative,positive,positive,positive,neutral,less positive,positive
She is my favorite character of the game,She is a great character,Lovers,Lovers,positive,positive,less positive,neutral,negative,negative,positive,neutral,positive,positive,positive,positive,positive,positive
She is my favorite character of the game,Her writing is not over,Coworker,Lovers,positive,less positive,less positive,neutral,negative,neutral,even less negative,neutral,positive,positive,less positive,neutral,positive,positive
She is my favorite character of the game,Her writing is not over,Lovers,Friends,positive,positive,positive,neutral,negative,less negative,even less negative,less negative,positive,positive,positive,neutral,positive,positive
She is my favorite character of the game,She is a great character,Strangers,Something else,positive,positive,negative,negative,negative,negative,negative,negative,positive,positive,positive,less positive,positive,positive
She is my favorite character of the game,She is a great character,Lovers,Lovers,positive,positive,neutral,neutral,negative,negative,even less poitive,less positive,positive,positive,positive,positive,positive,positive
She is my favorite character of the game,She is a great character,Friends,Friends,positive,neutral,less positive,neutral,less negative,less positive,even less negative,negative,positive,positive,positive,less negative,neutral,positive
She is my favorite character of the game,She is a great character,Coworker,Friends,positive,neutral,positive,neutral,negative,positive,even less negative,negative,positive,positive,positive,neutral,less positive,neutral
She is my favorite character of the game,She is a great character,Lovers,Friends,positive,positive,less positive,less negative,negative,negative,neutral,less negative,positive,positive,less positive,neutral,positive,neutral
She is my favorite character of the game,She is a great character,Friends,Lovers,positive,positive,positive,less positive,negative,negative,negative,neutral,positive,positive,positive,less positive,positive,positive
She is my favorite character of the game,She is a great character,Lovers,Lovers,positive,positive,neutral,negative,negative,negative,negative,negative,positive,positive,positive,positive,positive,positive
She is my favorite character of the game,She is a great character,Friends,Something else,positive,less positive,less positive,neutral,negative,negative,even less negative,less positive,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,neutral,neutral,less negative,negative,negative,even less negative,negative,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,negative,positive,less negative,negative,negative,less negative,positive,positive,less positive,less positive,neutral,positive,negative
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,less positive,neutral,less negative,negative,even less poitive,less negative,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,positive,positive,negative,negative,less positive,positive,positive,less positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,positive,less positive,neutral,negative,less negative,even less negative,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,neutral,negative,negative,negative,less negative,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,less positive,less negative,negative,less negative,even less negative,neutral,less positive,positive,positive,neutral,positive,neutral
She is one of my favorite character,She is a good character,Friends,Lovers,positive,positive,less positive,negative,negative,negative,less positive,less positive,positive,less positive,positive,neutral,positive,less positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,less positive,less negative,negative,negative,neutral,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,positive,neutral,negative,less negative,negative,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,less positive,less negative,negative,negative,even less negative,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Something else,Friends,positive,neutral,positive,neutral,less negative,neutral,neutral,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,neutral,neutral,less positive,negative,negative,neutral,negative,positive,positive,positive,neutral,neutral,positive
She is one of my favorite character,She is a great character,Strangers,Friends,positive,less positive,positive,less negative,negative,negative,even less negative,neutral,positive,less positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,neutral,less negative,negative,negative,less negative,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,positive,less negative,negative,negative,neutral,less negative,positive,less positive,less positive,neutral,neutral,neutral
She is one of my favorite character,She is a good character,Coworker,Lovers,positive,positive,neutral,less negative,negative,negative,neutral,neutral,less positive,positive,less positive,positive,positive,negative
She is one of my favorite character,She is a good character,Something else,Lovers,positive,positive,neutral,less negative,negative,negative,neutral,neutral,less positive,neutral,neutral,neutral,positive,positive
She is one of my favorite character,She is a good character,Coworker,Friends,positive,positive,positive,less negative,less negative,neutral,even less negative,neutral,less positive,less positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a good character,Strangers,Friends,positive,positive,positive,neutral,less negative,negative,less negative,negative,less positive,positive,less positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,less positive,negative,negative,negative,neutral,less negative,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,positive,positive,less positive,less negative,negative,even less negative,less negative,less positive,positive,neutral,neutral,neutral,neutral
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,less positive,neutral,neutral,less negative,neutral,negative,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,neutral,negative,less positive,even less negative,neutral,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,positive,positive,neutral,negative,negative,less negative,negative,neutral,positive,positive,less negative,less positive,neutral
She is one of my favorite character,She is average,Friends,Lovers,positive,positive,positive,less negative,negative,negative,neutral,less positive,less positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,neutral,negative,negative,negative,even less negative,negative,positive,positive,positive,negative,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,positive,positive,neutral,positive,negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Something else,Friends,positive,less positive,less positive,less negative,negative,negative,less negative,neutral,positive,less positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,neutral,negative,negative,less negative,less positive,less positive,positive,positive,less positive,positive,less positive
She is one of my favorite character,Her writing is not over,Friends,Friends,positive,positive,positive,less positive,positive,negative,neutral,less positive,less positive,positive,positive,neutral,less positive,neutral
She is one of my favorite character,She is a good character,Coworker,Friends,positive,less positive,positive,neutral,neutral,less negative,negative,less negative,positive,less positive,positive,less negative,less positive,positive
She is one of my favorite character,She is a great character,Strangers,Lovers,positive,less positive,positive,less positive,neutral,less negative,even less poitive,less negative,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,less positive,less negative,negative,negative,neutral,less positive,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,positive,neutral,negative,negative,less negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Strangers,Friends,positive,neutral,neutral,neutral,neutral,less negative,even less negative,neutral,less positive,positive,positive,less positive,less positive,positive
She is one of my favorite character,She is a good character,Strangers,Lovers,positive,positive,neutral,neutral,negative,negative,positive,positive,positive,less positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,less positive,neutral,negative,positive,less negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Coworker,Lovers,positive,positive,positive,neutral,less negative,negative,less positive,less negative,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,neutral,less negative,negative,neutral,less negative,less negative,positive,positive,positive,neutral,positive,less positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,less positive,positive,negative,negative,neutral,even less poitive,neutral,less positive,less positive,less positive,neutral,positive,less positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less negative,positive,neutral,negative,negative,neutral,positive,less positive,positive,less positive,neutral,neutral,positive
She is one of my favorite character,She is a great character,Something else,Lovers,positive,positive,less positive,less negative,negative,negative,even less negative,negative,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,neutral,neutral,negative,negative,negative,positive,negative,positive,neutral,neutral,neutral,neutral,positive
She is one of my favorite character,She is a great character,Something else,Lovers,positive,positive,neutral,less negative,negative,negative,neutral,neutral,positive,positive,positive,less positive,positive,less positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,neutral,positive,less negative,negative,less negative,positive,less negative,positive,less positive,less positive,less negative,positive,neutral
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,less positive,neutral,negative,neutral,even less poitive,neutral,positive,positive,positive,neutral,positive,less positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,neutral,negative,neutral,neutral,neutral,positive,positive,positive,neutral,neutral,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,less positive,neutral,negative,negative,negative,negative,neutral,less positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,neutral,positive,neutral,negative,neutral,neutral,positive,positive,positive,less positive,less positive,positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,less positive,neutral,less negative,negative,negative,even less poitive,less negative,positive,less positive,positive,neutral,less positive,positive
She is one of my favorite character,Her writing is not over,Friends,Lovers,positive,positive,less positive,negative,negative,negative,negative,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,positive,negative,negative,negative,neutral,negative,positive,positive,positive,neutral,positive,neutral
She is one of my favorite character,She is a great character,Lovers,Something else,positive,positive,neutral,less negative,negative,neutral,neutral,neutral,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a good character,Coworker,Friends,positive,less positive,less positive,less negative,negative,neutral,even less negative,negative,positive,positive,less positive,less negative,less positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,less positive,negative,negative,less negative,negative,neutral,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,neutral,neutral,negative,less positive,even less negative,neutral,less positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,positive,neutral,less negative,negative,negative,less negative,negative,positive,positive,positive,neutral,positive,neutral
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,less negative,less negative,less negative,negative,negative,neutral,positive,positive,positive,neutral,positive,less positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,less positive,less positive,negative,negative,neutral,less negative,less negative,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,less positive,less positive,less negative,negative,less negative,even less negative,less negative,less positive,positive,less positive,neutral,less positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,neutral,negative,neutral,neutral,neutral,positive,positive,positive,negative,neutral,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,neutral,negative,negative,even less negative,neutral,less positive,less positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,less negative,negative,negative,less negative,neutral,less positive,positive,positive,neutral,less positive,less positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,neutral,neutral,less positive,less negative,neutral,even less poitive,negative,positive,positive,less positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,less positive,neutral,negative,negative,even less negative,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,less negative,negative,negative,less negative,positive,less positive,positive,less positive,positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,positive,positive,negative,negative,positive,positive,positive,positive,positive,positive,positive,positive
She is one of my favorite character,Her writing is not over,Friends,Friends,positive,positive,positive,neutral,negative,positive,even less poitive,neutral,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,Her writing is not over,Friends,Lovers,positive,positive,positive,less negative,negative,negative,less negative,less negative,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,negative,negative,negative,negative,even less negative,less negative,positive,positive,positive,positive,positive,positive
She is one of my favorite character,Her writing is not over,Coworker,Friends,positive,less positive,positive,negative,negative,negative,even less negative,negative,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Strangers,Lovers,positive,positive,neutral,negative,negative,negative,less positive,negative,positive,positive,less positive,neutral,positive,neutral
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,neutral,negative,negative,even less negative,neutral,positive,positive,less positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,less negative,negative,neutral,neutral,less negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,less positive,negative,negative,negative,even less negative,less positive,positive,positive,positive,less negative,positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,less positive,less positive,less positive,less negative,negative,less positive,neutral,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,positive,neutral,neutral,neutral,even less negative,less negative,positive,less positive,less positive,positive,less positive,positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,positive,positive,positive,positive,less negative,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Strangers,Something else,positive,positive,neutral,less negative,negative,neutral,even less negative,less negative,less positive,less positive,positive,neutral,less positive,less positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,positive,less negative,neutral,negative,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,less positive,neutral,less negative,negative,neutral,less negative,positive,positive,positive,less negative,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,less positive,neutral,neutral,negative,neutral,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,Her writing is not over,Lovers,Lovers,positive,positive,less positive,less negative,negative,negative,even less poitive,negative,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,neutral,positive,negative,negative,less negative,even less negative,positive,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,less positive,less positive,less negative,negative,negative,even less negative,neutral,positive,positive,less positive,neutral,less positive,positive
She is one of my favorite character,She is a good character,Something else,Friends,positive,positive,neutral,less negative,less negative,less negative,less negative,neutral,less positive,less positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,neutral,negative,negative,negative,less negative,neutral,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,positive,neutral,negative,negative,negative,neutral,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,neutral,neutral,neutral,negative,neutral,even less negative,neutral,less positive,positive,positive,less negative,neutral,neutral
She is one of my favorite character,She is a good character,Friends,Lovers,positive,positive,less positive,neutral,less negative,neutral,negative,less negative,positive,less positive,positive,neutral,less positive,less positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,neutral,positive,negative,negative,negative,negative,negative,positive,positive,positive,positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,neutral,less positive,negative,negative,negative,negative,negative,less positive,positive,neutral,neutral,neutral,less positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,less positive,neutral,negative,neutral,even less negative,negative,positive,positive,positive,less negative,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,negative,positive,neutral,negative,less positive,neutral,positive,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,negative,negative,less positive,negative,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,Her writing is not over,Coworker,Friends,positive,neutral,positive,less positive,negative,less positive,even less negative,negative,positive,positive,less positive,negative,positive,positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,neutral,less positive,negative,negative,even less negative,positive,positive,positive,less positive,positive,positive,less positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,neutral,negative,negative,even less poitive,neutral,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,neutral,less negative,less negative,negative,even less negative,less positive,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Something else,Friends,positive,positive,positive,neutral,negative,less positive,even less poitive,neutral,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,less positive,neutral,negative,negative,less negative,less negative,positive,positive,less positive,less negative,positive,less positive
She is one of my favorite character,Her writing is not over,Friends,Friends,positive,less positive,positive,neutral,negative,negative,less negative,neutral,neutral,less positive,positive,neutral,neutral,positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,positive,positive,less negative,negative,negative,less negative,neutral,positive,less positive,positive,neutral,positive,less positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,positive,neutral,negative,negative,even less poitive,neutral,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Strangers,Lovers,positive,less positive,less positive,neutral,negative,negative,even less negative,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Coworker,Friends,positive,less positive,positive,neutral,negative,neutral,less negative,less negative,positive,less positive,less positive,neutral,neutral,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,neutral,negative,negative,negative,less negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,less positive,neutral,less positive,less negative,even less poitive,less positive,less positive,less positive,positive,neutral,less positive,less positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,neutral,neutral,negative,negative,negative,even less poitive,positive,positive,positive,positive,less negative,positive,positive
She is one of my favorite character,Her writing is not over,Friends,Lovers,positive,positive,positive,neutral,less negative,negative,negative,less positive,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,less positive,less negative,negative,negative,even less negative,neutral,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,negative,negative,negative,even less negative,negative,positive,positive,positive,neutral,positive,less positive
She is one of my favorite character,She is a good character,Coworker,Friends,positive,less positive,neutral,neutral,less negative,negative,negative,less positive,positive,positive,positive,less positive,positive,neutral
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,positive,negative,negative,negative,even less negative,neutral,positive,positive,positive,neutral,less positive,less positive
She is one of my favorite character,Her writing is not over,Friends,Friends,positive,positive,positive,negative,negative,neutral,neutral,less negative,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,neutral,neutral,less positive,less positive,neutral,positive,positive,less positive,neutral,neutral,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,less positive,neutral,less negative,negative,even less negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Something else,Friends,positive,positive,positive,positive,negative,negative,less positive,negative,positive,positive,positive,less negative,positive,positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,less positive,neutral,negative,negative,neutral,neutral,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Something else,Friends,positive,positive,less positive,neutral,less negative,negative,even less poitive,less negative,positive,positive,positive,neutral,neutral,less positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,neutral,neutral,less negative,negative,even less negative,less positive,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,neutral,less positive,less negative,negative,less negative,even less poitive,neutral,less positive,less positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,neutral,neutral,negative,less negative,positive,less positive,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,negative,negative,negative,negative,negative,positive,positive,positive,less negative,positive,positive
She is one of my favorite character,She is a great character,Strangers,Lovers,positive,less positive,neutral,negative,negative,negative,less positive,negative,positive,positive,positive,negative,less positive,positive
She is one of my favorite character,She is a great character,Something else,Lovers,positive,less positive,neutral,less negative,negative,less negative,even less poitive,positive,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Something else,Lovers,positive,positive,neutral,neutral,less negative,negative,neutral,neutral,positive,less positive,positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Something else,Friends,positive,neutral,neutral,less negative,less negative,negative,neutral,negative,positive,less positive,less positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,less positive,less negative,negative,negative,less negative,negative,positive,positive,positive,neutral,neutral,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,positive,positive,negative,less positive,even less negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,positive,neutral,negative,negative,less negative,neutral,less positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a good character,Lovers,Friends,positive,less positive,less positive,less positive,neutral,neutral,even less negative,less positive,less positive,positive,positive,less positive,less positive,less negative
She is one of my favorite character,Her writing is not over,Friends,Something else,positive,less positive,less positive,less negative,negative,neutral,even less negative,neutral,positive,positive,less positive,less negative,positive,neutral
She is one of my favorite character,Her writing is not over,Friends,Friends,positive,positive,positive,neutral,negative,neutral,even less negative,less positive,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Something else,positive,positive,less positive,neutral,negative,neutral,less negative,less negative,positive,positive,less positive,less positive,less positive,positive
She is one of my favorite character,Her writing is not over,Friends,Lovers,positive,positive,neutral,negative,negative,negative,even less negative,negative,less positive,less positive,less positive,positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,neutral,less negative,negative,negative,even less negative,less negative,positive,positive,positive,neutral,less positive,positive
She is one of my favorite character,Her writing is not over,Lovers,Friends,positive,positive,positive,neutral,negative,negative,neutral,neutral,positive,less positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Strangers,Friends,positive,less negative,positive,less positive,negative,less negative,negative,neutral,positive,positive,less positive,neutral,neutral,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,neutral,less positive,neutral,negative,negative,neutral,neutral,positive,positive,less positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,positive,negative,negative,positive,neutral,neutral,positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,positive,neutral,neutral,negative,negative,even less negative,less negative,less positive,positive,positive,less positive,positive,positive
She is one of my favorite character,She is a great character,Friends,Lovers,positive,positive,less positive,neutral,less negative,negative,even less negative,less negative,positive,positive,positive,neutral,less positive,less positive
She is one of my favorite character,Her writing is not over,Something else,Friends,positive,positive,less positive,less negative,less negative,negative,even less negative,neutral,positive,positive,positive,neutral,positive,less positive
She is one of my favorite character,Her writing is not over,Coworker,Friends,positive,positive,positive,neutral,negative,neutral,even less poitive,less negative,positive,positive,positive,less negative,neutral,positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,positive,less negative,neutral,negative,negative,even less negative,neutral,positive,positive,less positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,less negative,negative,positive,neutral,neutral,positive,positive,positive,neutral,neutral,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,neutral,less negative,negative,neutral,negative,neutral,positive,positive,positive,neutral,less positive,less positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,less positive,neutral,negative,negative,negative,neutral,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,neutral,less positive,neutral,negative,negative,neutral,neutral,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,positive,positive,neutral,negative,negative,less negative,negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,less positive,less negative,negative,neutral,less negative,positive,less positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Lovers,Lovers,positive,positive,neutral,negative,negative,negative,less negative,negative,positive,positive,positive,less negative,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,less positive,neutral,neutral,less negative,negative,positive,neutral,less positive,less positive,positive,less positive,positive,positive
She is one of my favorite character,She is a good character,Friends,Lovers,positive,positive,neutral,neutral,less negative,negative,neutral,neutral,less positive,positive,positive,less positive,less positive,positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,less negative,negative,negative,less negative,negative,less negative,less positive,positive,positive,positive,positive,positive
She is one of my favorite character,She is a good character,Something else,Friends,positive,less negative,less positive,negative,negative,neutral,less negative,neutral,positive,positive,less positive,less negative,less positive,positive
She is one of my favorite character,Her writing is not over,Lovers,Friends,positive,positive,neutral,less negative,negative,negative,negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,positive,neutral,negative,negative,even less poitive,less negative,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Friends,Friends,positive,neutral,positive,less negative,negative,neutral,even less negative,less negative,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,less positive,neutral,negative,negative,neutral,even less negative,neutral,positive,less positive,positive,neutral,less positive,positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,neutral,less positive,less negative,negative,negative,even less poitive,less negative,positive,positive,less positive,neutral,less positive,positive
She is one of my favorite character,Her writing is not over,Something else,Friends,positive,neutral,neutral,neutral,negative,neutral,even less negative,less negative,positive,positive,less positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Something else,Something else,positive,positive,neutral,less negative,negative,negative,neutral,less positive,positive,positive,positive,neutral,positive,positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,less negative,negative,negative,negative,even less negative,neutral,positive,positive,positive,neutral,positive,less positive
She is one of my favorite character,She is a good character,Friends,Friends,positive,positive,less positive,neutral,negative,less negative,neutral,neutral,positive,less positive,less positive,neutral,less positive,less positive
She is one of my favorite character,She is a great character,Lovers,Friends,positive,positive,neutral,negative,negative,less positive,positive,negative,less positive,positive,positive,neutral,positive,neutral
